Congressional District,Voters Registered,State Senate District,State House District,Voters Registered
1,"569,311",1,81,"75,700"
2,"506,366",1,82,"77,011"
3,"529,868",1,83,"78,352"
4,"527,451",2,44,"86,054"
5,"519,652",2,75,"74,341"
6,"508,923",2,89,"80,434"
7,"537,981",3,5,"81,173"
8,"524,863",3,10,"81,691"
9,"526,422",3,12,"74,676"
10,"521,772",4,45,"82,123"
11,"529,939",4,46,"79,181"
12,"510,573",4,47,"69,429"
13,"531,353",5,39,"77,175"
14,"522,168",5,40,"78,992"
15,"516,788",5,80,"86,917"
0,0,6,36,"80,638"
0,0,6,37,"87,121"
0,0,6,38,"74,993"
0,0,7,28,"88,864"
0,0,7,55,"91,651"
0,0,7,56,"83,111"
0,0,8,27,"96,606"
0,0,8,29,"85,355"
0,0,8,30,"84,946"
0,0,9,24,"78,204"
0,0,9,25,"74,293"
0,0,9,26,"91,895"
0,0,10,70,"83,664"
0,0,10,71,"75,247"
0,0,10,74,"69,698"
0,0,11,41,"75,370"
0,0,11,42,"68,865"
0,0,11,43,"71,515"
0,0,12,78,"70,911"
0,0,12,84,"76,579"
0,0,12,85,"77,960"
0,0,13,52,"83,746"
0,0,13,53,"77,515"
0,0,13,54,"83,532"
0,0,14,62,"88,386"
0,0,14,63,"77,924"
0,0,14,90,"69,090"
0,0,15,1,"82,097"
0,0,15,2,"77,584"
0,0,15,3,"70,650"
0,0,16,4,"93,730"
0,0,16,8,"77,915"
0,0,16,11,"87,243"
0,0,17,91,"69,185"
0,0,17,92,"69,992"
0,0,17,93,"76,602"
0,0,18,19,"91,372"
0,0,18,23,"87,171"
0,0,18,57,"86,443"
0,0,19,60,"87,157"
0,0,19,61,"91,947"
0,0,19,98,"66,297"
0,0,20,68,"83,576"
0,0,20,69,"78,454"
0,0,20,73,"86,356"
0,0,21,18,"92,329"
0,0,21,21,"87,166"
0,0,21,22,"82,677"
0,0,22,66,"85,454"
0,0,22,67,"79,342"
0,0,22,76,"77,562"
0,0,23,13,"79,803"
0,0,23,16,"89,909"
0,0,23,20,"82,112"
0,0,24,14,"77,605"
0,0,24,15,"80,812"
0,0,24,17,"88,137"
0,0,25,6,"67,765"
0,0,25,7,"80,674"
0,0,25,9,"72,395"
0,0,26,86,"75,906"
0,0,26,87,"75,528"
0,0,26,88,"72,694"
0,0,27,31,"86,353"
0,0,27,35,"91,111"
0,0,27,72,"77,742"
0,0,28,32,"76,130"
0,0,28,33,"77,975"
0,0,28,34,"84,037"
0,0,29,48,"84,756"
0,0,29,49,"71,506"
0,0,29,50,"74,411"
0,0,30,94,"74,954"
0,0,30,95,"66,949"
0,0,30,96,"73,690"
0,0,31,51,"69,717"
0,0,31,77,"68,739"
0,0,31,97,"69,870"
0,0,32,64,"78,275"
0,0,32,65,"80,061"
0,0,32,99,"79,832"
0,0,33,58,"75,827"
0,0,33,59,"82,714"
0,0,33,79,"76,212"
