County,Voters Registered,Latest Year # Eligible to Vote,
ADAMS,"16,907","20,787",
ALLEN,"63,171","76,974",
ASHLAND,"33,541","40,177",
ASHTABULA,"58,658","75,390",
ATHENS,"34,905","50,936",
AUGLAIZE,"31,743","35,089",
BELMONT,"41,966","53,372",
BROWN,"28,631","33,598",
BUTLER,"245,028","282,645",
CARROLL,"17,558","21,190",
CHAMPAIGN,"26,245","30,055",
CLARK,"83,741","103,142",
CLERMONT,"147,237","161,018",
CLINTON,"27,045","31,814",
COLUMBIANA,"63,817","80,275",
COSHOCTON,"21,570","27,742",
CRAWFORD,"27,200","32,346",
CUYAHOGA,"864,315","960,328",
DARKE,"33,930","39,113",
DEFIANCE,"25,689","29,231",
DELAWARE,"165,024","156,893",
ERIE,"52,125","59,486",
FAIRFIELD,"109,844","120,423",
FAYETTE,"16,782","21,825",
FRANKLIN,"882,946","938,819",
FULTON,"28,703","32,284",
GALLIA,"18,058","22,207",
GEAUGA,"66,893","73,495",
GREENE,"117,823","130,846",
GUERNSEY,"23,642","29,739",
HAMILTON,"600,163","611,975",
HANCOCK,"49,572","57,005",
HARDIN,"17,289","23,217",
HARRISON,"9,407","11,347",
HENRY,"18,804","20,913",
HIGHLAND,"26,907","32,839",
HOCKING,"17,645","21,856",
HOLMES,"17,379","30,755",
HURON,"35,437","43,938",
JACKSON,"19,792","24,797",
JEFFERSON,"42,684","51,994",
KNOX,"41,428","47,873",
LAKE,"161,221","182,657",
LAWRENCE,"38,752","44,741",
LICKING,"124,387","137,009",
LOGAN,"31,279","35,124",
LORAIN,"213,750","242,647",
LUCAS,"282,907","324,844",
MADISON,"26,743","34,779",
MAHONING,"153,378","178,773",
MARION,"38,322","50,895",
MEDINA,"131,255","141,667",
MEIGS,"14,192","17,368",
MERCER,"28,852","30,953",
MIAMI,"76,711","83,214",
MONROE,"8,696","10,534",
MONTGOMERY,"357,001","404,834",
MORGAN,"8,751","10,811",
MORROW,"23,950","27,367",
MUSKINGUM,"52,597","66,397",
NOBLE,"7,800","11,597",
OTTAWA,"29,721","32,944",
PAULDING,"12,148","14,175",
PERRY,"22,295","26,960",
PICKAWAY,"37,904","46,573",
PIKE,"16,995","20,582",
PORTAGE,"106,485","129,059",
PREBLE,"27,623","31,595",
PUTNAM,"23,436","25,367",
RICHLAND,"77,562","97,139",
ROSS,"44,696","60,157",
SANDUSKY,"38,740","45,475",
SCIOTO,"42,625","56,941",
SENECA,"33,954","42,632",
SHELBY,"31,927","35,925",
STARK,"243,990","289,726",
SUMMIT,"368,540","414,599",
TRUMBULL,"130,940","159,195",
TUSCARAWAS,"56,400","69,884",
UNION,"47,630","47,995",
VAN WERT,"19,832","21,991",
VINTON,"8,012","9,927",
WARREN,"174,762","178,279",
WASHINGTON,"40,823","47,189",
WAYNE,"68,739","86,988",
WILLIAMS,"24,099","28,351",
WOOD,"87,432","103,180",
WYANDOT,"14,332","16,680",
